id,name,bodyPart,mode,instructions,mediaUrl,type,exRxLink,classification,target,synergists,stabilizers,dynamicStabilizers
e107,Shoulder Tap,SHOULDERS,,,369913,STRENGTH,,,,,,
e108,Diamond Pushup,TRICEPS,,,028313,STRENGTH,,,,,,
e109,Bird Dog,BACK,,,441613,STRENGTH,,,,,,
e110,Side Plank Hip Adduction,ADDUCTORS,,,177513,STRENGTH,,,,,,
e111,Side Bridge Hip Abduction,ABDUCTORS,,,177413,STRENGTH,,,,,,
e112,Bridge Hip Abduction,ABDUCTORS,,,014413,STRENGTH,,,,,,
e113,Glute Bridge,GLUTES,,,247113,STRENGTH,,,,,,
e114,Single Leg Deadlift,HAMSTRINGS,,,392813,STRENGTH,,,,,,
e115,Single Leg Calf Raise,CALVES,,,476113,STRENGTH,,,,,,
e116,Machine-assisted Triceps Dip,TRICEPS,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/Triceps/ASTriDip,BASIC,TRICEPS_BRACHII,,,
e117,Close Grip Bench Press,TRICEPS,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/Triceps/SMCloseGripBenchPress,BASIC,TRICEPS_BRACHII,,,
e118,Bench Dip,TRICEPS,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/Triceps/BWBenchDipFloor,BASIC,PECTORALIS_MAJOR_STERNAL,,,
e119,Machine-assisted Chest Dip,CHEST,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/AsChestDip,BASIC,PECTORALIS_MAJOR_STERNAL,,,
e120,Dumbbell Bench Press,CHEST,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/DBBenchPress,BASIC,PECTORALIS_MAJOR_STERNAL,,,
e121,Chest Press,CHEST,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/LVChestPress,AUXILIARY,PECTORALIS_MAJOR_STERNAL,,,
e122,Incline Dumbbell Bench Press,CHEST,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/DBBenchPress,BASIC,PECTORALIS_MAJOR_CLAVICULAR,,,
